#town Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Tallinn -3 -5 -1 3 10 13 16 15 10 6 1 -2
Beijing -3 0 6 13 20 24 26 25 20 13 5 -1
Berlin 0 -1 4 7 12 16 18 17 14 9 4 1
Buenos_Aires 23 22 20 16 13 10 10 11 13 16 18 22
Cairo 13 15 17 21 25 27 28 27 26 23 19 15
Cape_Town 21 21 20 17 15 13 12 13 14 16 18 20
Helsinki -5 -6 -2 3 10 13 16 15 10 5 0 -3
London 3 3 6 7 11 14 16 16 13 10 6 5
Moscow -8 -7 -2 5 12 15 17 15 10 3 -2 -6
Ottawa -10 -8 -2 6 13 18 21 20 14 7 1 -7
Paris 3 4 7 10 13 16 19 19 16 11 6 5
Riga -3 -3 1 5 11 15 17 16 12 7 2 -1
Rome 8 8 11 12 17 20 23 23 21 17 12 9
Singapore 27 27 28 28 28 28 28 28 27 27 27 26
Stockholm -2 -3 0 3 10 14 17 16 11 6 1 -2
Waschington_D.C. 2 3 7 13 18 23 26 25 21 15 9 3
