year,month,day,week,temp_2,temp_1,average,actual,forecast_noaa,forecast_acc,forecast_under,friend
2016,1,1,Fri,7.2,7.2,7.6,7.2,6.1,10.0,6.7,-1.7
2016,1,2,Sat,6.7,7.2,7.6,6.7,5.0,10.0,6.7,16.1
2016,1,3,Sun,7.2,6.7,7.7,5.0,6.1,7.8,8.3,13.3
2016,1,4,Mon,6.7,5.0,7.7,4.4,6.7,8.9,7.8,11.7
2016,1,5,Tues,5.0,4.4,7.8,6.7,7.8,7.8,7.8,5.0
2016,1,6,Wed,4.4,6.7,7.8,10.6,6.1,9.4,8.9,4.4
2016,1,7,Thurs,6.7,10.6,7.9,7.2,7.2,9.4,7.8,3.3
2016,1,8,Fri,10.6,7.2,7.9,8.9,6.1,8.3,7.8,1.1
2016,1,9,Sat,7.2,8.9,8.0,10.0,7.8,10.0,7.2,8.3
2016,1,10,Sun,8.9,10.0,8.1,11.1,7.2,8.9,8.9,9.4
2016,1,11,Mon,10.0,11.1,8.2,7.2,5.6,8.9,8.9,3.9
2016,1,12,Tues,11.1,7.2,8.2,9.4,6.7,10.0,7.2,16.1
2016,1,13,Wed,7.2,9.4,8.3,12.8,7.2,10.6,7.8,0.6
2016,1,14,Thurs,9.4,12.8,8.3,9.4,6.1,8.3,7.8,14.4
2016,1,15,Fri,12.8,9.4,8.4,8.9,7.8,10.6,7.8,18.3
2016,1,16,Sat,9.4,8.9,8.5,12.2,7.2,11.1,7.8,-2.2
2016,1,17,Sun,8.9,12.2,8.6,10.0,7.2,10.6,7.8,8.3
2016,1,18,Mon,12.2,10.0,8.6,12.2,6.7,8.9,9.4,14.4
2016,1,19,Tues,10.0,12.2,8.7,8.9,8.3,9.4,8.9,11.7
2016,1,20,Wed,12.2,8.9,8.7,11.1,6.7,11.1,9.4,16.1
2016,1,21,Thurs,8.9,11.1,8.8,11.1,6.1,10.6,7.8,13.9
2016,1,22,Fri,11.1,11.1,8.8,13.9,8.3,8.9,8.9,15.6
2016,1,23,Sat,11.1,13.9,8.9,8.9,7.2,9.4,10.0,2.8
2016,1,24,Sun,13.9,8.9,8.9,10.6,7.8,10.0,8.9,12.2
2016,1,25,Mon,8.9,10.6,9.0,12.2,7.2,10.6,9.4,17.2
2016,1,26,Tues,10.6,12.2,9.1,13.3,6.7,11.7,10.0,16.1
2016,1,27,Wed,12.2,13.3,9.1,13.9,7.2,10.6,9.4,12.2
2016,1,28,Thurs,13.3,13.9,9.1,13.3,6.7,11.1,8.9,1.1
2016,1,29,Fri,13.9,13.3,9.2,11.1,8.9,11.1,8.3,9.4
2016,1,30,Sat,13.3,11.1,9.2,8.9,7.2,10.6,8.9,8.3
2016,1,31,Sun,11.1,8.9,9.3,8.3,8.3,11.1,9.4,16.1
2016,2,1,Mon,8.9,8.3,9.3,7.8,7.8,9.4,9.4,10.6
2016,2,2,Tues,8.3,7.8,9.3,10.6,8.9,10.0,10.0,13.3
2016,2,3,Wed,7.8,10.6,9.4,9.4,8.9,9.4,10.0,4.4
2016,2,4,Thurs,10.6,9.4,9.4,9.4,6.7,12.2,10.6,6.7
2016,2,5,Fri,9.4,9.4,9.5,11.7,8.3,10.0,9.4,7.2
2016,2,6,Sat,9.4,11.7,9.5,9.4,8.3,11.7,9.4,13.3
2016,2,7,Sun,11.7,9.4,9.6,10.6,7.8,10.6,8.9,17.2
2016,2,8,Mon,9.4,10.6,9.6,13.9,9.4,11.1,10.0,1.1
2016,2,9,Tues,10.6,13.9,9.7,16.7,7.2,11.1,9.4,13.9
2016,2,10,Wed,13.9,16.7,9.7,13.3,8.9,10.0,9.4,-1.1
2016,2,11,Thurs,16.7,13.3,9.7,12.8,7.8,11.7,10.0,2.8
2016,2,12,Fri,13.3,12.8,9.8,14.4,9.4,11.1,8.9,0.6
2016,2,15,Mon,12.8,14.4,9.9,12.8,7.8,11.1,9.4,11.7
2016,2,16,Tues,14.4,12.8,9.9,13.3,8.3,12.2,10.6,12.8
2016,2,17,Wed,12.8,13.3,10.0,13.9,7.2,10.6,9.4,7.8
2016,2,18,Thurs,13.3,13.9,10.1,11.7,8.3,12.8,9.4,1.1
2016,2,19,Fri,13.9,11.7,10.1,10.6,10.0,11.1,10.6,5.6
2016,2,20,Sat,11.7,10.6,10.2,11.7,8.9,12.8,10.6,6.1
2016,2,21,Sun,10.6,11.7,10.3,10.6,9.4,12.2,11.1,7.8
2016,2,22,Mon,11.7,10.6,10.3,10.6,7.8,10.6,10.0,15.0
2016,2,23,Tues,10.6,10.6,10.4,15.6,9.4,11.7,10.6,6.1
2016,2,24,Wed,10.6,15.6,10.4,15.0,8.3,11.7,10.0,7.8
2016,2,25,Thurs,15.6,15.0,10.5,16.1,9.4,10.6,9.4,1.7
2016,2,26,Fri,15.0,16.1,10.6,15.6,8.9,13.3,11.7,18.3
2016,2,27,Sat,16.1,15.6,10.7,13.9,10.6,11.7,11.7,16.1
2016,2,28,Sun,15.6,13.9,10.7,11.7,8.9,13.3,11.7,18.9
2016,3,1,Tues,11.7,12.2,10.8,14.4,8.9,13.3,10.0,11.7
2016,3,2,Wed,12.2,14.4,10.9,12.8,8.3,12.2,11.1,2.8
2016,3,3,Thurs,14.4,12.8,11.0,15.0,9.4,12.2,10.0,21.7
2016,3,4,Fri,12.8,15.0,11.1,13.9,8.3,13.3,11.7,7.2
2016,3,5,Sat,15.0,13.9,11.2,17.8,9.4,11.7,10.6,7.8
2016,3,6,Sun,13.9,17.8,11.2,15.6,11.1,11.7,10.6,9.4
2016,3,7,Mon,17.8,15.6,11.3,11.7,9.4,13.9,11.7,21.7
2016,3,8,Tues,15.6,11.7,11.4,12.2,8.9,13.3,10.6,21.1
2016,3,9,Wed,11.7,12.2,11.5,12.8,8.9,13.3,12.2,13.9
2016,3,10,Thurs,12.2,12.8,11.6,13.3,9.4,12.8,11.7,10.0
2016,3,11,Fri,12.8,13.3,11.7,12.8,11.7,11.7,10.6,2.2
2016,3,12,Sat,13.3,12.8,11.7,11.1,11.1,14.4,11.7,18.3
2016,3,13,Sun,12.8,11.1,11.8,12.2,10.0,12.8,11.7,12.2
2016,3,14,Mon,11.1,12.2,11.9,9.4,9.4,14.4,12.8,6.7
2016,3,15,Tues,12.2,9.4,12.0,10.6,9.4,14.4,11.1,21.1
2016,3,16,Wed,9.4,10.6,12.1,11.7,11.1,12.2,12.8,18.3
2016,3,17,Thurs,10.6,11.7,12.2,14.4,9.4,14.4,11.1,16.7
2016,3,18,Fri,11.7,14.4,12.2,17.2,10.6,13.9,12.2,13.3
2016,3,19,Sat,14.4,17.2,12.3,16.1,12.2,15.0,12.2,16.7
2016,3,20,Sun,17.2,16.1,12.4,12.8,10.6,13.3,12.8,10.0
2016,3,21,Mon,16.1,12.8,12.5,13.3,11.1,13.3,12.8,11.1
2016,3,22,Tues,12.8,13.3,12.6,13.9,10.6,12.8,12.2,17.8
2016,3,23,Wed,13.3,13.9,12.6,11.7,10.0,14.4,12.8,21.1
2016,3,24,Thurs,13.9,11.7,12.7,12.2,12.2,13.3,13.3,22.2
2016,3,25,Fri,11.7,12.2,12.8,13.9,11.7,13.9,13.9,5.6
2016,3,26,Sat,12.2,13.9,12.9,15.0,11.7,13.9,12.8,12.2
2016,3,27,Sun,13.9,15.0,12.9,10.6,11.1,14.4,12.8,3.9
2016,3,28,Mon,15.0,10.6,13.1,13.3,12.8,13.9,12.8,8.3
2016,3,29,Tues,10.6,13.3,13.1,17.8,11.7,15.0,12.2,7.2
2016,3,30,Wed,13.3,17.8,13.2,20.0,10.6,13.9,13.3,13.9
2016,3,31,Thurs,17.8,20.0,13.3,22.8,12.8,15.0,13.3,13.3
2016,4,1,Fri,20.0,22.8,13.3,21.7,12.2,15.0,12.8,5.0
2016,4,2,Sat,22.8,21.7,13.4,17.2,12.8,14.4,14.4,7.2
2016,4,3,Sun,21.7,17.2,13.5,20.6,12.2,16.1,13.3,17.8
2016,4,4,Mon,17.2,20.6,13.6,15.6,12.2,15.0,13.3,7.2
2016,4,5,Tues,20.6,15.6,13.7,13.9,11.1,14.4,13.3,22.2
2016,4,6,Wed,15.6,13.9,13.8,20.0,11.7,15.0,13.9,17.8
2016,4,7,Thurs,13.9,20.0,13.8,25.0,11.1,16.1,12.8,3.3
2016,4,8,Fri,20.0,25.0,13.9,24.4,13.9,16.1,13.9,5.0
2016,4,9,Sat,25.0,24.4,14.0,18.9,11.7,16.1,13.9,23.3
2016,4,10,Sun,24.4,18.9,14.1,15.0,13.9,15.6,13.9,15.6
2016,4,11,Mon,18.9,15.0,14.2,14.4,13.3,15.6,14.4,4.4
2016,4,12,Tues,15.0,14.4,14.3,15.6,12.2,15.0,13.9,16.1
2016,4,13,Wed,14.4,15.6,14.4,15.0,12.8,16.7,13.3,25.0
2016,4,14,Thurs,15.6,15.0,14.5,15.0,13.9,17.2,14.4,18.9
2016,4,15,Fri,15.0,15.0,14.6,15.6,14.4,16.1,15.6,4.4
2016,4,16,Sat,15.0,15.6,14.7,20.0,13.3,15.6,15.0,15.0
2016,4,17,Sun,15.6,20.0,14.8,25.0,14.4,16.7,15.0,12.2
2016,4,18,Mon,20.0,25.0,14.9,31.7,12.8,15.0,13.9,3.9
2016,4,19,Tues,25.0,31.7,15.0,27.2,15.0,17.2,15.0,16.1
2016,4,20,Wed,31.7,27.2,15.1,27.2,13.3,17.2,16.1,18.9
2016,4,21,Thurs,27.2,27.2,15.2,22.8,12.8,16.1,15.0,12.8
2016,4,22,Fri,27.2,22.8,15.4,17.8,15.0,17.8,15.6,15.0
2016,4,23,Sat,22.8,17.8,15.5,18.3,13.3,17.2,15.0,13.9
