HomeTeam,AwayTeam,FTHG,FTAG
Bayern Munich,Hoffenheim,3,1
Fortuna Dusseldorf,Augsburg,1,2
Freiburg,Ein Frankfurt,0,2
Hertha,Nurnberg,1,0
M'gladbach,Leverkusen,2,0
Werder Bremen,Hannover,1,1
Wolfsburg,Schalke 04,2,1
Dortmund,RB Leipzig,4,1
Mainz,Stuttgart,1,0
Hannover,Dortmund,0,0
Augsburg,M'gladbach,1,1
Ein Frankfurt,Werder Bremen,1,2
Hoffenheim,Freiburg,3,1
Leverkusen,Wolfsburg,1,3
Nurnberg,Mainz,1,1
Stuttgart,Bayern Munich,0,3
RB Leipzig,Fortuna Dusseldorf,1,1
Schalke 04,Hertha,0,2
Dortmund,Ein Frankfurt,3,1
Bayern Munich,Leverkusen,3,1
Fortuna Dusseldorf,Hoffenheim,2,1
Mainz,Augsburg,2,1
M'gladbach,Schalke 04,2,1
RB Leipzig,Hannover,3,2
Wolfsburg,Hertha,2,2
Freiburg,Stuttgart,3,3
Werder Bremen,Nurnberg,1,1
Stuttgart,Fortuna Dusseldorf,0,0
Augsburg,Werder Bremen,2,3
Hertha,M'gladbach,4,2
Hoffenheim,Dortmund,1,1
Nurnberg,Hannover,2,0
Schalke 04,Bayern Munich,0,2
Wolfsburg,Freiburg,1,3
Ein Frankfurt,RB Leipzig,1,1
Leverkusen,Mainz,1,0
Bayern Munich,Augsburg,1,1
Freiburg,Schalke 04,1,0
Hannover,Hoffenheim,1,3
Werder Bremen,Hertha,3,1
Dortmund,Nurnberg,7,0
Fortuna Dusseldorf,Leverkusen,1,2
Mainz,Wolfsburg,0,0
M'gladbach,Ein Frankfurt,3,1
RB Leipzig,Stuttgart,2,0
Hertha,Bayern Munich,2,0
Hoffenheim,RB Leipzig,1,2
Leverkusen,Dortmund,2,4
Nurnberg,Fortuna Dusseldorf,3,0
Schalke 04,Mainz,1,0
Stuttgart,Werder Bremen,2,1
Wolfsburg,M'gladbach,2,2
Augsburg,Freiburg,4,1
Ein Frankfurt,Hannover,4,1
Werder Bremen,Wolfsburg,2,0
Bayern Munich,M'gladbach,0,3
Dortmund,Augsburg,4,3
Fortuna Dusseldorf,Schalke 04,0,2
Hannover,Stuttgart,3,1
Mainz,Hertha,0,0
Freiburg,Leverkusen,0,0
Hoffenheim,Ein Frankfurt,1,2
RB Leipzig,Nurnberg,6,0
Ein Frankfurt,Fortuna Dusseldorf,7,1
Augsburg,RB Leipzig,0,0
Leverkusen,Hannover,2,2
Nurnberg,Hoffenheim,1,3
Schalke 04,Werder Bremen,0,2
Stuttgart,Dortmund,0,4
Wolfsburg,Bayern Munich,1,3
Hertha,Freiburg,1,1
M'gladbach,Mainz,4,0
Freiburg,M'gladbach,3,1
Dortmund,Hertha,2,2
Fortuna Dusseldorf,Wolfsburg,0,3
Hannover,Augsburg,1,2
Hoffenheim,Stuttgart,4,0
Mainz,Bayern Munich,1,2
Nurnberg,Ein Frankfurt,1,1
RB Leipzig,Schalke 04,0,0
Werder Bremen,Leverkusen,2,6
Stuttgart,Ein Frankfurt,0,3
Augsburg,Nurnberg,2,2
Bayern Munich,Freiburg,1,1
Hertha,RB Leipzig,0,3
Leverkusen,Hoffenheim,1,4
Schalke 04,Hannover,3,1
Wolfsburg,Dortmund,0,1
Mainz,Werder Bremen,2,1
M'gladbach,Fortuna Dusseldorf,3,0
Hannover,Wolfsburg,2,1
Dortmund,Bayern Munich,3,2
Fortuna Dusseldorf,Hertha,4,1
Freiburg,Mainz,1,3
Hoffenheim,Augsburg,2,1
Nurnberg,Stuttgart,0,2
Werder Bremen,M'gladbach,1,3
Ein Frankfurt,Schalke 04,3,0
RB Leipzig,Leverkusen,3,0
Leverkusen,Stuttgart,2,0
Augsburg,Ein Frankfurt,1,3
Bayern Munich,Fortuna Dusseldorf,3,3
Hertha,Hoffenheim,3,3
Mainz,Dortmund,1,2
Schalke 04,Nurnberg,5,2
Wolfsburg,RB Leipzig,1,0
Freiburg,Werder Bremen,1,1
M'gladbach,Hannover,4,1
Fortuna Dusseldorf,Mainz,0,1
Dortmund,Freiburg,2,0
Hannover,Hertha,0,2
Hoffenheim,Schalke 04,1,1
Stuttgart,Augsburg,1,0
Werder Bremen,Bayern Munich,1,2
Ein Frankfurt,Wolfsburg,1,2
RB Leipzig,M'gladbach,2,0
Nurnberg,Leverkusen,1,1
Werder Bremen,Fortuna Dusseldorf,3,1
Bayern Munich,Nurnberg,3,0
Freiburg,RB Leipzig,3,0
Hertha,Ein Frankfurt,1,0
Leverkusen,Augsburg,1,0
Schalke 04,Dortmund,1,2
Wolfsburg,Hoffenheim,2,2
Mainz,Hannover,1,1
M'gladbach,Stuttgart,3,0
Nurnberg,Wolfsburg,0,2
Augsburg,Schalke 04,1,1
Dortmund,Werder Bremen,2,1
Fortuna Dusseldorf,Freiburg,2,0
Hannover,Bayern Munich,0,4
Hoffenheim,M'gladbach,0,0
Stuttgart,Hertha,2,1
Ein Frankfurt,Leverkusen,2,1
RB Leipzig,Mainz,4,1
Fortuna Dusseldorf,Dortmund,2,1
Hertha,Augsburg,2,2
M'gladbach,Nurnberg,2,0
Wolfsburg,Stuttgart,2,0
Bayern Munich,RB Leipzig,1,0
Freiburg,Hannover,1,1
Mainz,Ein Frankfurt,2,2
Schalke 04,Leverkusen,1,2
Werder Bremen,Hoffenheim,1,1
Dortmund,M'gladbach,2,1
Ein Frankfurt,Bayern Munich,0,3
Hannover,Fortuna Dusseldorf,0,1
Leverkusen,Hertha,3,1
Nurnberg,Freiburg,0,1
RB Leipzig,Werder Bremen,3,2
Stuttgart,Schalke 04,1,3
Augsburg,Wolfsburg,2,3
Hoffenheim,Mainz,1,1
Hoffenheim,Bayern Munich,1,3
Augsburg,Fortuna Dusseldorf,1,2
Ein Frankfurt,Freiburg,3,1
Hannover,Werder Bremen,0,1
Leverkusen,M'gladbach,0,1
RB Leipzig,Dortmund,0,1
Stuttgart,Mainz,2,3
Nurnberg,Hertha,1,3
Schalke 04,Wolfsburg,2,1
Hertha,Schalke 04,2,2
Dortmund,Hannover,5,1
Freiburg,Hoffenheim,2,4
Mainz,Nurnberg,2,1
M'gladbach,Augsburg,2,0
Werder Bremen,Ein Frankfurt,2,2
Wolfsburg,Leverkusen,0,3
Bayern Munich,Stuttgart,4,1
Fortuna Dusseldorf,RB Leipzig,0,4
Hannover,RB Leipzig,0,3
Ein Frankfurt,Dortmund,1,1
Hertha,Wolfsburg,0,1
Hoffenheim,Fortuna Dusseldorf,1,1
Leverkusen,Bayern Munich,3,1
Nurnberg,Werder Bremen,1,1
Schalke 04,M'gladbach,0,2
Augsburg,Mainz,3,0
Stuttgart,Freiburg,2,2
Mainz,Leverkusen,1,5
Bayern Munich,Schalke 04,3,1
Dortmund,Hoffenheim,3,3
Freiburg,Wolfsburg,3,3
Hannover,Nurnberg,2,0
M'gladbach,Hertha,0,3
RB Leipzig,Ein Frankfurt,0,0
Fortuna Dusseldorf,Stuttgart,3,0
